mjd	ra_deg	dec_deg	r_au	delta_au
61012.74349537	177.9532611	1.3652221	1.867600	1.882997
61012.74418982	177.9525975	1.3654643	1.867617	1.882990
61012.74488426	177.9519339	1.3657065	1.867634	1.882983
61012.74557870	177.9512703	1.3659487	1.867651	1.882976
61012.74627315	177.9506067	1.3661908	1.867669	1.882970
61012.74696759	177.9499430	1.3664329	1.867686	1.882963
61012.74766204	177.9492794	1.3666750	1.867703	1.882956
61012.74835648	177.9486157	1.3669171	1.867720	1.882949
61012.74905093	177.9479520	1.3671591	1.867737	1.882942
61012.74974537	177.9472882	1.3674012	1.867755	1.882935
61012.75043982	177.9466245	1.3676432	1.867772	1.882928
61012.75113426	177.9459607	1.3678852	1.867789	1.882921
61012.75182870	177.9452969	1.3681271	1.867806	1.882915
61012.75252315	177.9446331	1.3683691	1.867824	1.882908
61012.75321759	177.9439692	1.3686110	1.867841	1.882901
61012.75391204	177.9433054	1.3688529	1.867858	1.882894
61012.75460648	177.9426415	1.3690948	1.867875	1.882887
61012.75530093	177.9419776	1.3693366	1.867893	1.882880
61012.75599537	177.9413137	1.3695785	1.867910	1.882873
61012.75668981	177.9406498	1.3698203	1.867927	1.882866
61012.75738426	177.9399858	1.3700621	1.867944	1.882860
61012.75807870	177.9393218	1.3703039	1.867962	1.882853
61012.75877315	177.9386578	1.3705456	1.867979	1.882846
61012.75946759	177.9379938	1.3707873	1.867996	1.882839
61012.76016204	177.9373298	1.3710291	1.868013	1.882832
61012.76085648	177.9366657	1.3712707	1.868031	1.882825
61012.76155093	177.9360016	1.3715124	1.868048	1.882818
61012.76224537	177.9353375	1.3717541	1.868065	1.882812
61012.76293981	177.9346734	1.3719957	1.868082	1.882805
61012.76363426	177.9340092	1.3722373	1.868100	1.882798
61012.76432870	177.9333451	1.3724789	1.868117	1.882791
61012.76502315	177.9326809	1.3727204	1.868134	1.882784
61012.76571759	177.9320167	1.3729620	1.868151	1.882777
61012.76641204	177.9313525	1.3732035	1.868169	1.882770
61012.76710648	177.9306882	1.3734450	1.868186	1.882764
61012.76780093	177.9300240	1.3736865	1.868203	1.882757
61012.76849537	177.9293597	1.3739279	1.868220	1.882750
61012.76918982	177.9286954	1.3741694	1.868238	1.882743
61012.76988426	177.9280311	1.3744108	1.868255	1.882736
61012.77057870	177.9273667	1.3746522	1.868272	1.882729
61012.77127315	177.9267024	1.3748935	1.868289	1.882722
61012.77196759	177.9260380	1.3751349	1.868307	1.882716
61012.77266204	177.9253736	1.3753762	1.868324	1.882709
61012.77335648	177.9247092	1.3756175	1.868341	1.882702
