mjd_utc	stereo_a	solar_orbiter	ace	wind	ace_scaled
61011.409722222	61415105	1.4183048e+08	62556619	82381926	1.0634625e+08
61011.416666667	62061146	1.4185909e+08	63183418	81884583	1.0741181e+08
61011.423611111	62662124	1.4172808e+08	63942559	81399408	1.0870235e+08
61011.430555556	63218038	1.414829e+08	64834041	80923299	1.1021787e+08
61011.437500000	63620309	1.4157694e+08	65813449	80450172	1.1188286e+08
61011.444444444	63758850	1.4241811e+08	66582973	80040148	1.1319105e+08
61011.451388889	63632152	1.4400642e+08	66889216	79840128	1.1371167e+08
61011.458333333	63240217	1.4597745e+08	66952251	79933911	1.1381883e+08
61011.465277778	62583042	1.4795763e+08	67005320	80289622	1.1390904e+08
61011.472222222	61740398	1.4971582e+08	67061586	80685692	1.140047e+08
61011.479166667	60844904	1.5100321e+08	67121050	80932423	1.1410578e+08
61011.486111111	59949410	1.5179302e+08	67183712	81029818	1.1421231e+08
61011.493055556	59053915	1.5208524e+08	67249572	80977874	1.1432427e+08
61011.500000000	58214449	1.5187987e+08	67318630	80776594	1.1444167e+08
61011.506944444	57513344	1.5117692e+08	67390885	80425975	1.1456451e+08
61011.513888889	56976902	1.4997639e+08	67388794	80087445	1.1456095e+08
61011.520833333	56605124	1.4827826e+08	67177820	80012371	1.1420229e+08
61011.527777778	56397832	1.4608255e+08	66928107	80227595	1.1377778e+08
61011.534722222	56322113	1.4338926e+08	66866792	80536082	1.1367355e+08
61011.541666667	56345239	1.4019838e+08	66773798	80767343	1.1351546e+08
61011.548611111	56467208	1.3650991e+08	66415888	80916695	1.1290701e+08
61011.555555556	56721624	1.3254586e+08	65779895	81205708	1.1182582e+08
61011.562500000	57147110	1.2855501e+08	64865820	81824078	1.1027189e+08
61011.569444444	57748683	1.2594229e+08	63917250	82771804	1.0865932e+08
61011.576388889	58526341	1.2706986e+08	63307164	84048887	1.0762218e+08
61011.583333333	59424056	1.3045579e+08	63164958	85630988	1.0738043e+08
61011.590277778	60359497	1.3363416e+08	63396892	87369097	1.0777472e+08
61011.597222222	61269645	1.3660494e+08	63812899	88977118	1.0848193e+08
61011.604166667	61781420	1.3936816e+08	64378142	90203683	1.0944284e+08
61011.611111111	61875523	1.419238e+08	65129938	90958848	1.1072089e+08
61011.618055556	61901747	1.4427187e+08	66043647	91436154	1.122742e+08
61011.625000000	61892823	1.4612309e+08	67118808	91867775	1.1410197e+08
61011.631944444	61848751	1.4711791e+08	68355422	92292343	1.1620422e+08
61011.638888889	61735926	1.4718608e+08	69753488	92709860	1.1858093e+08
61011.645833333	61515728	1.463276e+08	71313006	93120324	1.2123211e+08
61011.652777778	61183139	1.4411113e+08	72790390	93523735	1.2374366e+08
61011.659722222	60738159	1.3951271e+08	73812659	93920095	1.2548152e+08
61011.666666667	60180790	1.3440564e+08	74250419	94333741	1.2622571e+08
61011.673611111	59511029	1.3125587e+08	74197408	94913683	1.2613559e+08
61011.680555556	58766208	1.3006338e+08	73921240	95784592	1.2566611e+08
61011.687500000	58320701	1.3068062e+08	73595792	96946467	1.2511285e+08
61011.694444444	58194669	1.3212808e+08	73245243	98399310	1.2451691e+08
61011.701388889	58071229	1.3362465e+08	72894234	99999710	1.239202e+08
61011.708333333	57950383	1.356034e+08	72627538	1.0160219e+08	1.2346681e+08
61011.715277778	57832129	1.3855836e+08	72574867	1.0320466e+08	1.2337727e+08
61011.722222222	57716467	1.4263354e+08	72781620	1.0476451e+08	1.2372875e+08
61011.729166667	57603399	1.4786118e+08	73247797	1.0623489e+08	1.2452125e+08
61011.736111111	57492923	1.5329396e+08	73973398	1.076116e+08	1.2575478e+08
61011.743055556	57385039	1.5757919e+08	74680478	1.0889463e+08	1.2695681e+08
61011.750000000	57279748	1.6031144e+08	74984583	1.1008399e+08	1.2747379e+08
61011.756944444	57177050	1.6149072e+08	74799208	1.1117967e+08	1.2715865e+08
61011.763888889	57076331	1.6111701e+08	74336141	1.1218169e+08	1.2637144e+08
61011.770833333	56976294	1.593379e+08	73787169	1.1194288e+08	1.2543819e+08
61011.777777778	56904959	1.5713289e+08	73152292	1.1032644e+08	1.243589e+08
61011.784722222	56898780	1.5528307e+08	72431508	1.0805367e+08	1.2313356e+08
61011.791666667	56965509	1.5364467e+08	71540506	1.0510994e+08	1.2161886e+08
61011.798611111	57105146	1.520832e+08	70349574	1.0191086e+08	1.1959428e+08
61011.805555556	57317692	1.5052489e+08	68735937	98640197	1.1685109e+08
61011.812500000	57603146	1.4893753e+08	66590341	95344794	1.1320358e+08
61011.819444444	57961509	1.4732161e+08	63946694	92028859	1.0870938e+08
61011.826388889	58392780	1.4569167e+08	61148733	88692392	1.0395285e+08
61011.833333333	58896959	1.4406172e+08	58580913	85335392	99587552
61011.840277778	59474047	1.4243177e+08	56517859	81774639	96080360
61011.847222222	60142066	1.4080182e+08	55508710	77771657	94364806
61011.854166667	61054397	1.3917187e+08	55934486	74418342	95088626
61011.861111111	62317695	1.3754192e+08	57795188	71851493	98251819
61011.868055556	63895505	1.3591197e+08	60857042	70888452	1.0345697e+08
61011.875000000	65780075	1.3428202e+08	63264955	73851561	1.0755042e+08
61011.881944444	67971405	1.3265208e+08	63397610	79120575	1.0777594e+08
61011.888888889	70469496	1.3102213e+08	62727251	82840988	1.0663633e+08
61011.895833333	73274346	1.2939218e+08	63709609	83323439	1.0830633e+08
61011.902777778	76385956	1.2776223e+08	66923529	83143130	1.1377e+08
61011.909722222	79804327	1.2613228e+08	70591757	84825012	1.2000599e+08
61011.916666667	83438942	1.2450233e+08	73241717	88369087	1.2451092e+08
61011.923611111	87122535	1.2287238e+08	74525548	90438334	1.2669343e+08
61011.930555556	90760330	1.2124243e+08	73622539	90226875	1.2515832e+08
61011.937500000	94198947	1.1961249e+08	70733838	90265844	1.2024752e+08
61011.944444444	97303029	1.1798254e+08	66734390	90555244	1.1344846e+08
61011.951388889	1.0013931e+08	1.1635259e+08	61958959	89556447	1.0533023e+08
61011.958333333	1.0284997e+08	1.1472264e+08	58262638	84961731	99046485
61011.965277778	1.054884e+08	1.1317318e+08	57266744	77975741	97353465
61011.972222222	1.0780297e+08	1.1191355e+08	57576408	72311832	97879894
61011.979166667	1.095641e+08	1.110726e+08	56437777	69659365	95944220
61011.986111111	1.1065928e+08	1.113368e+08	52612039	68666540	89440466
61011.993055556	1.1087384e+08	1.1357869e+08	48792879	67586273	82947894
61012.000000000	1.1051985e+08	1.1798434e+08	47613356	65117640	80942706
61012.006944444	1.1038841e+08	1.2455373e+08	48391847	63789965	82266140
61012.013888889	1.1122255e+08	1.3171275e+08	50009002	65575988	85015304
61012.020833333	1.1218665e+08	1.3765014e+08	51312685	69039094	87231564
61012.027777778	1.1262221e+08	1.4212879e+08	52323744	72992381	88950364
61012.034722222	1.1300583e+08	1.4514868e+08	53638973	75031156	91186254
61012.041666667	1.1319534e+08	1.5027238e+08	55060364	75969606	93602618
61012.048611111	1.1313734e+08	1.5818146e+08	56205015	76803080	95548526
61012.055555556	1.1505136e+08	1.658661e+08	56259246	76888678	95640718
61012.062500000	1.1822913e+08	1.7319744e+08	59271975	76800921	1.0076236e+08
61012.069444444	1.2053306e+08	1.7948902e+08	65961753	75884825	1.1213498e+08
61012.076388889	1.2293198e+08	1.8386828e+08	71225852	78180749	1.2108395e+08
61012.083333333	1.2530283e+08	1.8614918e+08	73827038	82340430	1.2550597e+08
61012.090277778	1.2702179e+08	1.8633171e+08	73759217	83602521	1.2539067e+08
61012.097222222	1.2742257e+08	1.8599e+08	75250073	82341530	1.2792512e+08
61012.104166667	1.273408e+08	1.869353e+08	80020870	78470621	1.3603548e+08
61012.111111111	1.3003535e+08	1.8611051e+08	84558955	74266700	1.4375022e+08
61012.118055556	1.3417759e+08	1.8375177e+08	88045956	72272032	1.4967812e+08
61012.125000000	1.3775288e+08	1.7982692e+08	88429305	71672428	1.5032982e+08
61012.131944444	1.4087081e+08	1.7357388e+08	86918989	72339329	1.4776228e+08
61012.138888889	1.4099042e+08	1.6779315e+08	89156876	77963959	1.5156669e+08
61012.145833333	1.3973801e+08	1.6224749e+08	90443959	82545991	1.5375473e+08
61012.152777778	1.3936368e+08	1.5659682e+08	87165264	82831609	1.4818095e+08
61012.159722222	1.3911327e+08	1.5073831e+08	82847409	78924533	1.408406e+08
61012.166666667	1.3888828e+08	1.4686004e+08	80739965	73756416	1.3725794e+08
61012.173611111	1.3868871e+08	1.4460931e+08	82411930	73591615	1.4010028e+08
61012.180555556	1.3851456e+08	1.4144532e+08	82363470	77356868	1.400179e+08
61012.187500000	1.3839138e+08	1.3736807e+08	79251501	84987348	1.3472755e+08
61012.194444444	1.357878e+08	1.356718e+08	75692882	93780204	1.286779e+08
61012.201388889	1.3153254e+08	1.3676568e+08	73664051	1.0109741e+08	1.2522889e+08
61012.208333333	1.2764024e+08	1.4059281e+08	74746541	1.0693896e+08	1.2706912e+08
61012.215277778	1.2400132e+08	1.4688728e+08	77837554	1.1043807e+08	1.3232384e+08
61012.222222222	1.2118883e+08	1.5133821e+08	79892805	1.0854642e+08	1.3581777e+08
61012.229166667	1.1851434e+08	1.5335177e+08	79428136	1.0668981e+08	1.3502783e+08
61012.236111111	1.1597966e+08	1.5425375e+08	77889665	1.0741659e+08	1.3241243e+08
61012.243055556	1.1370565e+08	1.5474697e+08	78125427	1.0648358e+08	1.3281323e+08
61012.250000000	1.1181134e+08	1.5264334e+08	76909523	1.0438659e+08	1.3074619e+08
